continent,country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
EU,Germany,55.10869565,55.87606838,56.79916318,56.0460251,52.03319502,52.03,38.9,38.9,40.215768,38.900415,38.900415,38.900415,38.900415,30.175,30.175,30.175,30.175,30.175,30.175,30.175,30.175,30.175,30.175,29.825,29.897059,29.897059,29.937781,29.83
AF,Djibouti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,25,25,25,25,25
NO,Dominica,NA,NA,NA,30,NA,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28,25,25,25,25,25,25,25
EU,Denmark,34,34,34,34,32,32,30,30,30,30,28,28,25,25,25,25,25,25,25,24.5,23.5,22,22,22,22,22,22,22
NO,Dominican Republic,25,25,25,25,25,25,25,25,25,25,25,30,25,25,25,25,29,29,29,28,27,27,27,27,27,27,27,27
AF,Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,23,26,26,26,26,26,26,26
SA,Ecuador,25,25,32,36.25,15,25,36.25,36.25,36.25,36.25,25,25,25,25,25,25,24,23,22,22,22,22,22,25,25,25,25,25
AF,Egypt,40,40,40,40,40,40,40,40,42,42,20,20,20,20,20,20,20,25,25,25,22.5,22.5,22.5,23,22.5,22.5,22.5,22.5
AF,Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,30,30,30,30,30,30,30,30
AF,Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EU,Spain,35,35,35,35,35,35,35,35,35,35,35,35,32.5,30,30,30,30,30,30,30,28,25,25,25,25,25,25,25
EU,Estonia,26,26,26,26,26,26,26,26,26,26,24,23,22,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20
AF,Ethiopia,50,50,50,40,35,35,NA,NA,NA,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
EU,Finland,25,28,28,28,28,29,29,29,29,29,26,26,26,26,26,26,26,24.5,24.5,20,20,20,20,20,20,20,20,20
OC,Fiji,35,35,35,35,35,35,34,32,32,31,31,31,31,31,29,28,28,28,20,20,20,20,20,20,20,20,20,20
SA,Falkland Islands (Malvinas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
EU,France,36.66,36.66,36.66,41.66,40,37.76,36.43,35.43,35.42979,35.42979,34.95,34.43,34.42989,34.42989,34.42989,34.42989,36.09639,36.09639,37.9962,37.9962,37.9962,34.43,34.43,34.43,34.43,32.02,28.4075,25.825
EU,Faroe Islands,NA,NA,NA,NA,NA,20,20,20,20,20,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
OC,Micronesia (Federated States of),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,21,21,21,21,21,21,21,30,30,30
AF,Gabon,40,40,40,40,40,35,35,35,35,35,35,35,35,35,35,35,35,35,30,30,30,30,30,30,30,30,30,30
EU,United Kingdom of Great Britain and Northern Ireland,33,33,31,31,30,30,30,30,30,30,30,30,30,28,28,28,26,24,23,21,20,20,19,19,19,19,19,19
AS,Georgia,NA,NA,NA,NA,NA,20,20,20,20,20,20,20,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
EU,Guernsey,20,20,20,20,NA,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,Ghana,35,35,35,35,35,35,35,32.5,NA,32.5,30,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
EU,Gibraltar,35,35,35,35,NA,35,35,35,35,35,35,35,35,33,27,22,10,10,10,10,10,10,10,10,10,10,12.5,12.5
AF,Guinea,35,35,35,35,35,35,35,35,NA,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
NO,Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF,Gambia,NA,NA,NA,NA,NA,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31,30,31,31,31,27,27
AF,Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,25,25,25,25,25,25,25,25,25
AF,Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
EU,Greece,35,35,35,40,40,40,37.5,35,35,35,32,29,25,25,25,24,20,20,26,26,26,29,29,29,24,24,24,22
NO,Grenada,NA,NA,NA,30,NA,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28,28,28,28
NO,Greenland,NA,NA,NA,NA,NA,35,35,35,35,35,35,35,30,30,30,30,30,30,30,30,30,31.8,31.8,31.8,31.8,26.5,26.5,26.5
NO,Guatemala,30,30,30,25,27.5,25,31,31,31,31,31,31,31,31,31,31,31,31,31,28,25,25,25,25,25,25,25,25
SA,French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OC,Guam,NA,NA,NA,NA,NA,NA,35,35,NA,35,35,35,35,35,35,35,35,35,35,35,35,35,35,21,21,21,21,21
SA,Guyana,45,45,45,45,45,45,45,45,NA,35,35,NA,NA,NA,NA,35,30,30,30,30,30,30,27.5,27.5,25,25,25,25
AS,"China, Hong Kong Special Administrative Region",16.5,16.5,16.5,16.5,16,16,16,16,16,17.5,17.5,17.5,17.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
AN,Heard Island and McDonald Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,Honduras,35,35,40.25,40.25,25,25,25,25,25,25,30,30,30,30,30,25,35,35,35,30,30,30,25,25,25,25,25,25
EU,Croatia,NA,25,25,35,35,35,20,20,20.32,20.32,20.23,20,20,20,20,20,20,20,20,20,20,20,18,18,18,18,18,18
NO,Haiti,35,35,35,35,35,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,30,30,30,30,30,30,30,30,30,30,30,30
EU,Hungary,18,18,18,18,18,18,18,18,18,16,16,17.33,20,20,20,19,19,19,19,19,19,19,9,9,9,9,9,9
AS,Indonesia,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28,25,25,25,25,25,25,25,25,25,25,25,22,22
EU,Isle of Man,20,20,20,20,20,20,20,18,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS,India,40,40,35,35,35,38.5,39.55,35.7,36.75,35.875,36.5935,33.66,33.99,33.99,33.99,33.99,32.44,32.45,33.99,33.99,34.61,34.61,34.61,35,30,30,30,30
AS,British Indian Ocean Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EU,Ireland,38,36,36,32,28,24,20,16,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
AS,Iran (Islamic Republic of),54,54,54,54,54,54,54,54,NA,25,25,25,NA,NA,NA,NA,25,25,25,25,25,25,25,25,25,25,25,25
AS,Iraq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
EU,Iceland,33,33,33,33,30,30,30,18,18,18,18,18,18,15,15,18,20,20,20,20,20,20,20,20,20,20,20,20
AS,Israel,37,36,36,36,36,36,36,36,36,35,34,31,29,27,26,25,24,25,25,26.5,26.5,25,24,23,23,23,23,23
EU,Italy,53.2,53.2,53.2,37,37,41.25,40.25,40.25,38.25,37.25,37.25,37.25,37.25,31.4,31.4,31.4,31.4,31.29275,31.29275,31.29275,31.29275,31.29275,27.8064,27.8064,27.8064,27.81,27.81,27.81
NO,Jamaica,33.3,33.3,33.3,33.3,33.3,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,25,25,25,25,25,25,25,25,25,25
EU,Jersey,20,20,20,20,NA,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS,Jordan,55,55,35,35,35,35,35,35,25,25,25,25,25,25,25,14,14,14,14,14,20,20,20,20,20,20,20,20
AS,Japan,49.98,49.98,49.98,46.36,48,40.87,40.87,40.87,40.87,39.54,39.54,39.54,39.54,39.54,39.54,39.54,39.54,39.54,36.99,36.99,32.11,29.97,29.97,29.74,29.74,29.74,29.74,29.74
AS,Kazakhstan,30,30,30,30,30,30,30,30,30,30,30,30,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AF,Kenya,35,35,35,35,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
AS,Kyrgyzstan,NA,NA,NA,30,30,30,30,30,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,10,10,10,10,10,10,10
AS,Cambodia,NA,NA,20,20,20,20,20,20,NA,NA,NA,NA,NA,NA,20,20,20,20,20,20,20,20,20,20,20,20,20,20
OC,Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,35,35,35,35,35,35,35,35,30,30
NO,Saint Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,35,33,33,33,33,33,33,33,33,33,33
AS,Republic of Korea,NA,NA,30.8,30.8,30.8,30.8,30.8,29.7,29.7,29.7,27.5,27.5,27.5,27.5,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,27.5,27.5,27.5,27.5,27.5
AS,Kuwait,55,55,55,NA,NA,NA,55,55,55,55,55,55,55,55,15,15,15,15,15,15,15,15,15,15,15,15,15,15
AS,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,35,28,24,24,24,24,24,24,24,24,20,20
AS,Lebanon,NA,10,10,10,10,10,15,15,NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17
AF,Liberia,NA,NA,NA,NA,NA,35,35,35,35,35,35,35,35,35,35,35,25,25,25,25,25,25,25,25,25,25,25,25
AF,Libya,NA,60,60,60,60,35,35,35,30.38,30.38,30.38,30.38,40,40,40,40,20,20,20,20,20,20,20,20,20,20,20,20
NO,Saint Lucia,33.3,33.3,33.3,33.3,NA,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,33.33,33.33,30,30,30,30,30,30
EU,Liechtenstein,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,15,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
AS,Sri Lanka,45,35,35,35,35,35,35,42,35,35,32.5,32.5,35,35,35,35,28,28,28,28,28,28,28,28,28,28,24,24
AF,Lesotho,NA,40,40,35,35,35,35,35,NA,35,35,35,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
EU,Lithuania,29,29,29,29,29,29,24,24,15,15,15,15,15,15,20,15,15,15,15,15,15,15,15,15,15,15,15,15
EU,Luxembourg,40.29,40.29,30.34,37.45,37.45,37.45,37.45,30.38,30.38,30.38,30.38,29.63,29.63,29.63,28.59,28.59,28.8,28.8,29.22,29.22,29.22,29.22,27.08,26.01,24.94,24.94,24.94,24.94
EU,Latvia,25,25,25,25,25,25,25,22,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,20
AS,"China, Macao Special Administrative Region",15,15,15,15,15,15,15,15,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
NO,Saint Martin (French Part),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,34.5,20,20,20,20,20,20
AF,Morocco,36,35,35,35,35,35,35,35,NA,35,35,35,35,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31
EU,Monaco,NA,NA,NA,33.3,33.3,33.3,33.3,33.3,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,31,28,26.5,25
EU,Republic of Moldova,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,18,15,15,0,0,0,0,0,12,12,18,12,12,12,12,12,12,12
AF,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,25,24,24,23,21,20,20,20,20,20,20,20,20,20,20
AS,Maldives,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15
NO,Mexico,34,34,34,34,35,35,35,35,34,33,30,29,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30
OC,Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EU,The former Yugoslav Republic of Macedonia,NA,NA,NA,18,NA,15,15,15,15,15,15,15,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
AF,Mali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,30,30,30,30,30,30,30,30,30,30
EU,Malta,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
AS,Myanmar,NA,NA,NA,30,30,30,30,30,NA,30,30,NA,NA,NA,NA,NA,NA,NA,25,25,25,25,25,25,25,25,25,22
EU,Montenegro,NA,NA,NA,NA,NA,20,20,20,20,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15
AS,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,25,25,25,25,25,25,25,25,25,25
OC,Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,35,35,35,35,35,35,35,35,35,35,35,35,21,21,21,21,21
AF,Mozambique,45,45,45,45,35,35,35,35,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
AF,Mauritania,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
NO,Montserrat,NA,NA,NA,NA,NA,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
NO,Martinique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF,Mauritius,35,35,35,35,35,35,25,25,25,25,25,25,22.5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
AF,Malawi,35,38,38,38,38,38,38,35,NA,NA,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
